experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,010500000,first_0,-18.406779661016948,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,011000000,first_0,-20.696969696969695,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,011500000,first_0,-8.857142857142858,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,012000000,first_0,-19.83050847457627,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,012500000,first_0,-19.263157894736842,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,013000000,first_0,-19.442622950819672,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,013500000,first_0,-19.103448275862068,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,014000000,first_0,-21.784615384615385,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,014500000,first_0,-20.4375,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,015000000,first_0,-20.178571428571427,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,006000000,first_0,-1.028169014084507,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,015500000,first_0,-18.93548387096774,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,016000000,first_0,-18.8125,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,016500000,first_0,-19.232876712328768,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,017000000,first_0,-19.12280701754386,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,017500000,first_0,-20.096774193548388,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,018000000,first_0,-19.678571428571427,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,018500000,first_0,-19.90909090909091,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,019000000,first_0,-19.0,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,019500000,first_0,-20.291666666666668,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,020000000,first_0,-19.428571428571427,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,006500000,first_0,-9.80281690140845,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,020500000,first_0,-17.05263157894737,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,021000000,first_0,-18.892307692307693,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,021500000,first_0,-19.389830508474578,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,022000000,first_0,-20.229508196721312,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,022500000,first_0,-19.46031746031746,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,023000000,first_0,-19.3,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,023500000,first_0,-19.016949152542374,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,024000000,first_0,-17.80952380952381,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,024500000,first_0,-19.59375,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,025000000,first_0,-18.71875,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,007000000,first_0,-7.774647887323944,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,025500000,first_0,-18.62686567164179,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,026000000,first_0,-18.686567164179106,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,026500000,first_0,-18.4,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,027000000,first_0,-19.142857142857142,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,027500000,first_0,-19.661538461538463,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,028000000,first_0,-19.27536231884058,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,028500000,first_0,-20.065573770491802,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,029000000,first_0,-20.53125,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,029500000,first_0,-11.333333333333334,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,030000000,first_0,-21.381818181818183,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,007500000,first_0,-5.71830985915493,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,030500000,first_0,-19.49206349206349,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,031000000,first_0,-17.6,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,031500000,first_0,-20.181818181818183,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,032000000,first_0,-19.611940298507463,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,032500000,first_0,-19.9375,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,033000000,first_0,-21.774647887323944,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,033500000,first_0,-20.0,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,034000000,first_0,-10.333333333333334,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,034500000,first_0,-20.119402985074625,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,035000000,first_0,-17.966101694915253,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,008000000,first_0,-9.422535211267606,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,035500000,first_0,1.6,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,036000000,first_0,0.8,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,036500000,first_0,0.4,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,037000000,first_0,0.0,nan,nan,nan,False,False
